속성,순서,책이름,저자,옮긴이,분류,별점,완독일,한줄평,파일과 미디어
No,63,면접의 신,신동석,신동석,자기계발,★★★☆☆,2023년 4월 24일,예상 면접 질문이 자세하고 다양해서 도움이 되었으나 신입 위주로 쓰여져서 아쉬움,
No,64,WEB 3.0 (넥스트 이코노미),김미경 팀,김미경 팀,IT,★★★★☆,2023년 4월 28일,Web 3.0 완전히 달라진 경제 생태계를 간접경험하고 우리가 왜 Web 3.0 시대를 공부해야하는지 알려주는 책,
No,65,챗GPT 거대한 전환,김수민,김수민,IT,★★★☆☆,2023년 5월 2일,AI가 보여주는 큰 변화에 맞춰 우리가 준비해야할 것들과 수많은 기업들의 AI를 활용 사례를 자세하게 소개한다.,
No,66,아주작은 반복의 힘,로버트 마우어,장원철,자기계발,★★★☆☆,2023년 5월 9일,무엇을 이루고 싶거든 실천가능한 목표를 설정하고 아주 조금씩만 성취하자.,
No,67,CHAT-GPT에게 묻는 인류의  미래,"김대식, CHAT-GPT","김대식, CHAT-GPT",IT,★★★★☆,2023년 5월 10일,"Chat GPT에게 묻는 사랑,정의,행복,죽음, 인류의 미래와 같은 다소 철학적인 이야기를 통해 CHAT GPT의 생각을 읽는다.",
No,68,자기관리론,데일카네기,임상훈,자기계발,★★★★☆,2023년 5월 12일,걱정은 만병의 근원이다. 걱정을 이겨낼수 있는 방법을 알려주는 책.,
No,69,이직 바이블,이준희,이준희,자기계발,★★★☆☆,2023년 5월 14일,이직을 마음 먹은 상태에서 많은 위로와 조언이 되었던것 같다 시기에 절적하게 잘 인용했던것 같아서 좋았다,
No,70,AI 이후의 세계,"핸리 A 키신저, 에릭 슈미, 대니얼 허튼로커",김고명,경제경영,★★★★☆,2023년 5월 16일,AI가 가져올 미래에 대해서 논의 해보고 변화에 맞춰 우리 인류의 모습은 어떨지 상상하며 준비하는 책이다,
No,71,공부머리 독서법,최승필,최승필,자기계발,★★☆☆☆,2023년 5월 18일,언어능력이 뛰어난 사람이 학습능력도 뛰어나다. 우리는 언어능력을 키우기 위해 독서를 해야한다.,
No,72,프레임,최인철,최인철,자기계발,★★★★☆,2023년 5월 21일,세상을 바라보는 눈은 내가 만든 틀안에서 비춰진다. 프레임을 바꾸지 못한다면 삶이 변할수 없다.,
No,73,2030 반도체 지정학,오타 야스히코,강유종,경제경영,★★★★★,2023년 5월 23일,2023년 현재 세계가 가장 주목하고 있는 반도체와 지정학적으로 알수 있는 반도체를 둘러싼 세계의 움직임을 보여준 책,
No,74,비상식적 성공법칙,간다 마사노리,서승범,자기계발,★★★★☆,2023년 5월 25일,"매일 목표를 쓰고 읽는것으로 인생이 바뀌는 마법같은 이야기, 속독의 비법인 ‘포토리딩’ 을 배울 수 있는 책",
No,75,어떻게 원하는 것을 얻는가,스튜어트 다이아몬드,김태훈,자기계발,★★★★☆,2023년 5월 30일,일상생활 혹은 중요한 자리에서 어떻게 협상할 수 있는지 수많은 사람들의 예시를 통해 명쾌하게 방법을 알려준다,
No,76,왜 일하는가,이나모리 가즈오,김윤경,경제경영,★★★☆☆,2023년 5월 31일,일을 돈을 벌기 위해 어쩔수 없이하는 수단으로 생각하는것은 불행한 삶이다. 일을 즐기고 일에 최선을 다하라.,
No,77,독서에 정붙이기 프로젝트,김승국,김승국,에세이,★☆☆☆☆,2023년 6월 1일,글 쓰는게 싫다는 저자가 글을 싫다고 말하면서도 글의 관심을 갖는 아이러니 한 책.  딱히 얻는건 없었던것 같다.,
No,78,세상 끝의 카페,존 스트레레키,고상숙,자기계발,★★★★★,2023년 6월 2일," 내 존재의 이유라는 심오한 생각을 떠올리게 한 책. 정말 다른 사람들에게도 추천하고 싶은 좋은 책이다.",
No,79,사장학개론,김승호,김승호,경제경영,★★★★★,2023년 6월 7일,창업을 꿈꾼다면 정말로 꼭 봐야할 책이라고 생각한다.,
No,80,당신은 결국 무엇이든 해내는 사람,김상현,김상현,에세이,★★★★★,2023년 6월 10일,지금의 나에게 있어 딱 어울리는 메시지. 결국 무엇이든 해내는 사람.,
No,81,당신은 어떤가면을 쓰고 있나요,양스위엔,박영란,자기계발,★★★☆☆,2023년 6월 17일,이 사회에서는 모두가 가면을 쓰고 살아가지만 가면을 벗고 나답게 살아가는 방법을 알려주는 책,
No,82,거꾸로 읽는 세계사,유시민,유시민,역사,★★★★☆,2023년 6월 22일,인류 현대사에 대한 자각과 통찰을 배울 수 있고 보다 역사를 객관적으로 바라 볼 수 있게 해준 책,
No,85,불편한 편의점,김호연,김호연,소설,★★★★☆,2023년 7월 1일,"세상은 내가 바라보는대로 보이는 신기한곳, 불편하지만 따뜻함을 전하는 편의점이 있다.",
No,83,인간 실격,다자이 오사무,김춘미,소설,★★★☆☆,2023년 6월 24일,인간의 위선과 잔인함에 의해 인간이 파멸되어가는 과정을 보게 배우게 된 책,
No,84,마음의 지혜,김경일,김경일,인문,★★★★★,2023년 6월 27일,"이 책을 통해 인간관계, 행복, 일과 사랑, 돈과 성공 그리고 죽음까지 다양한 문제를 간접적으로 접하고 배울 수 있는 책",
No,86,삼성처럼 프레젠테이션하라,박지영,박지영,자기계발,★★★★☆,2023년 7월 3일,"우선 지금 나에게 너무 필요한 지식이고, 삼성직원들의 업무 스타일까지도 배울 수 있어서 좋았다",
No,87,일기를 에세이로 바꾸는 법,이유미,이유미,인문,★★★☆☆,2023년 7월 8일,"2024년 내 목표는 일기를 책으로 쓰는것, 이 책에서는 나와 같은 사람들에게 적절한 조언들을 주었다.",
No,88,설득의 심리학,로버트 치알디니,"황혜숙, 임상훈",심리,★★★★★,2023년 7월 16일,실생활에서 사용할 수 있는 심리학을 배우고 다른이들에게 속지 않을 지혜를 배운다. 심리학 중 단연 최고의 책.,
No,89,도파민형 인간,"대니얼z, 리버만,마이클E",최가영,자기계발,★★★☆☆,2023년 7월 23일,상당히 흥미로운건 사람의 의지보다 도파민 유전에 의한게 인간의 행동을 정한다는 사실이다.,
No,90,불편한 편의점2,김호연,김호연,소설,★★★☆☆,2023년 7월 28일,여전히 불편하지만 정이 있고 따듯함이 있는 Alaways 편의점,
No,91,구의증명,최진영,최진영,소설,★★☆☆☆,2023년 8월 4일,사랑하기 때문에 너를 먹는다는 내용은 다소 충격적이면서 삶과 사랑에 대한 비극적이고 처절했다.,
No,92,달러구트의 꿈 백화점,이미애,이미애,소설,★★☆☆☆,2023년 8월 10일,꿈에 대한 이야기를 창의적이고 동화처럼 잘 쓴 책이지만 나와는 좀 맞지 않는듯 해서 끝까지 보지 못한 책.,
No,93,꿀벌의 예언,베르나르 베르베르,전미연,소설,★★★☆☆,2023년 8월 22일,자가 최면으로 전생과 현실을 오가는 남자가 들려주는 이야기인데 꿀벌과 인류의 종말이 관련이 있다는점이 흥미롭다.,
No,94,다큐프라임 자본주의,EBS,편집부,경제경영,★★★★★,2023년 8월 30일,자본주의를 이해하는데 있어서 이 보다 좋은 책이 있을까 싶을정도로 교육에 특화된 책이다.,
No,95,변화하는 세계질서,레이 달리오,송이루,경제경영,★★★★☆,2023년 10월 7일,세계질서의 변화는 늘 거대한 사이클로 되풀이 되고있고 우리는 그 흐름을 이해해야 할것이다.,
No,96,페스트,알베르카뮈,이휘영,소설,★☆☆☆☆,2023년 10월 16일,"이해하기 어려운 내용들과 지루한 스토리에 아쉬움이 있긴했던 책, 다만 멋진 표현들이 많았던 책.",
No,97,시작의 기술,개리비숍,이지은,자기계발,★★★★★,2023년 10월 23일,내가 나를 믿지 않으면 아무것도 변하지않는다는 메시지.,
No,98,1% 읽는 힘,"메르 ",메르,경제경영,★★★★☆,2023년 11월 1일,남들과 다른 눈을 가져야 남들보다 앞서 갈 수 있다. 세상에 작은 부분도 인과관계를 이해하려 해보자.,
No,99,머니트렌드 2024,머니트렌드팀,머니트렌드팀,경제경영,★★★★★,2023년 11월 15일,돈을 좋아하는 사람이라면 누구에게나 추천해주고 싶은 책. 경기불황에서도 성공할 수 있는 전략은 얼마든지 있다.,
No,100,트렌드코리아 2024,트렌드코리아팀,트렌드코리아팀,경제경영,★★★★★,2023년 11월 26일,"핵심키워드, AI, 정신헬스케어, MZ 세대, 주거환경의 변화 등등 올해의 트렌드를 잘 짚어준것 같다",
No,101,나는 왜 자꾸 내 탓을 할까,허규형,허규형,인문,★★★★☆,2023년 12월 4일,정신건강의학과 전문의 허규형이 알려주는 “진짜 내 마음 들여다보는 법”,
No,102,발표불안극복 프로젝트,하승민,하승민,자기계발,★★★☆☆,2023년 12월 7일,마침 프레젠테이션 관련 교육을 듣던 중 내게 필요한 마인드를 잘 가르쳐준 책이다.,
No,103,일론 머스크,월터아이작슨,안진환,경제경영,★★★★☆,2024년 1월 6일,일론머스크에 대해서 이보다 잘 알수는 없을정도로 그의 일생을 잘 자룬 책,
No,104,이것이 마케팅이다,새스 고딘,김태훈,경제경영,★★★☆☆,2024년 1월 30일,속임수로 하는 마케팅이 아닌 더 나은것으로 사람들에게 감동 시키는 마케팅을 배울수 있는 책,
No,105,10년차 IT기획자의 노트,한성규,한성규,IT,★★★☆☆,2024년 1월 18일,기획에 핵심은 과거를 기록하고 그 데이터를 토대로 미래를 그리는것,
No,106,시간은 흐르지 않는다,카를로 로벨리,이중원,과학,★★★☆☆,2024년 2월 8일,나의 상식을 깨고 시간에 대한 새로운 개념 ‘시간은 상호작용 이다’라는것을 인식시킨 흥미로운 책,
No,107,나는 회사다니면서 창업하기로 했다,아라이 하지메,김윤경,경제경영,★★★★☆,2024년 2월 12일,거창한 사업이 아닌 회사를 다니면서도 부업처럼 시작하는 창업에 기술과 마인드를 배우는 책,
No,108,남에게 보여주려고 인생을 낭비하지 마라,아르투어 쇼펜아우어,박제현,자기계발,★★★☆☆,2024년 2월 16일,자신에게 전적으로 의지하고 자신에게만 만족하는 사람이 가장 행복하다.,
No,109,AI 2024,김덕진,김덕진,IT,★★★★★,2024년 3월 1일,생성형 AI와 관련한 다양한 플렛폼을 매우 쉽게 잘 설명한 책. AI가이드 북같은 느낌이다.,
